name,x,y
Medici,0,0
Albizzi,-3,-1
Guasconi,-2,-1
Guicciardini,-1,-1
Altoviti,-3.15,-2.25
Ardinghelli,-4.45,-4.75
DaUzzano,-2.75,-2
Rondinelli,-2.0,-1.5
Strozzi,-1.5,-2
DellaCasa,-1,-2.5
Castellani,-3,-2.5
Peruzzi,-2,-3
Benizzi,-1.25,-3
Pepi,-3.15,-4
Scambrilla,-2.75,-4
Lamberteschi,-2,-3.75
Panciatichi,-1.35,-4
Rucellai,-0.9,-3.5
Velluti,-4.25,-5
Baroncelli,0.25,-4.5
Tornabuoni,0,-1
Cocco-Donati,1,-1
Ginori,2,-1
Orlandini,3,-1
Solosmei,-0.25,-2
Valori,1,-2
Dietsavli,1.55,-1.5
DallAntella,2.15,-2.5
Davanzati,3,-2
Fioravanti,1,-3
Guadagni,1.5,-4
Bischeri,2,-5
